ID	Name	Category
GO:0006029	PROTEOGLYCAN_METABOLIC_PROCESS	ECM
R-HSA-1630316	GLYCOSAMINOGLYCAN_METABOLISM	ECM
R-HSA-3000178	ECM_PROTEOGLYCANS	ECM
R-HSA-1793185	CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	ECM
GO:0045444	FAT_CELL_DIFFERENTIATION	ECM
R-HSA-1474244	EXTRACELLULAR_MATRIX_ORGANIZATION	ECM
hsa04350	TGF_BETA_SIGNALING_PATHWAY	TGFb
GO:0007179	TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	TGFb
GO:0001837	EPITHELIAL_TO_MESENCHYMAL_TRANSITION	TGFb
GO:0071559	RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	TGFb
GO:0060395	SMAD_PROTEIN_SIGNAL_TRANSDUCTION	TGFb
M5891	HYPOXIA	HYPOXIA
GO:0071453	CELLULAR_RESPONSE_TO_OXYGEN_LEVELS	HYPOXIA
GO:0070482	RESPONSE_TO_OXYGEN_LEVELS	HYPOXIA
R-HSA-1234158	REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR	HYPOXIA
